label,max_temp,min_temp,max_wind_speed,min_wind_speed,precipitation_sum,par_total,root_zone_soil_wetness,surface_soil_wetness,humidity,earth_skin_temp
Scald,34.9663,8.9182,5.6584,0.0404,335.004,7.5846,0.6041,0.5863,12.9234,22.9936
Stripes,41.6341,6.2469,6.4674,0.0391,79.531,7.5419,0.3584,0.2606,5.8253,22.8277
Healthy,40.9426,6.8932,5.0395,0.0203,404.8834,7.554,0.658,0.6396,10.954,22.4218
Blast,35.9202,9.1832,1.272,0.0292,233.2563,7.9782,0.4456,0.431,9.2182,21.1901
Blast,43.2605,7.4082,7.0437,0.0409,94.4422,7.9712,0.4908,0.3692,10.0191,25.7977
Leaf-folder Injury,34.7299,8.6563,5.415,0.0434,321.3951,7.5459,0.6102,0.5899,13.3668,23.048
Scald,44.7613,5.0767,5.7928,0.0409,55.8141,7.4854,0.4493,0.3731,6.7673,23.4147
Healthy,37.7097,5.1257,4.4868,0.0825,271.4063,7.077,0.5486,0.5517,9.9704,21.7273
Tungro,41.0553,5.6654,7.7319,0.0199,111.0512,7.6056,0.4167,0.3669,7.29,22.3333
Healthy,32.5004,8.2613,5.1457,0.0715,1333.1596,7.3845,0.6863,0.6878,12.5523,21.7106
Tungro,38.6469,9.0342,1.1962,0,101.9439,8.4268,0.4185,0.3868,9.4249,22.0243
Healthy,38.1107,10.7057,7.8306,0.1007,61.1631,7.8013,0.4484,0.3952,12.4792,25.0521
Tungro,36.7281,10.601,5.7804,0.0459,163.0325,7.942,0.466,0.4319,11.4582,24.1055
Leaf-folder Injury,43.3468,2.5078,6.8058,0.0199,83.9982,7.4918,0.4321,0.3577,7.0952,24.0205
Healthy,44.5509,5.4108,5.5992,0.0413,55.4098,7.4918,0.4425,0.3678,6.6904,23.5089
Insect Infestation,40.9091,5.5817,7.6704,0.0198,114.1275,7.6171,0.4132,0.3695,7.2346,22.2847
Blast,41.6159,6.2288,6.4763,0.0372,83.4511,7.5903,0.356,0.2626,5.7909,22.9347
